county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs
"Anderson County, TX", TX,Anderson County TX,374.5382996,20.9,0.562471,46.7,64.6,82.6,66.8,31.8,1312,73.41,57735,34242,19.8,5.8,12.65,3177,2760,6900,3670
"Andrew County, MO", MO,Andrew County MO,80.25222127,9.1,0.100426,27.2,54.2,77.1,54.7,29.5,394,78.74,17712,45118,8.9,13.1,13.66,3246,2681,6660,5895
"Andrews County, TX", TX,Andrews County TX,547.6516459,9.2,0.529877,44.6,64.5,81.2,65,25.1,754,76.46,18705,50011,10.2,5.6,13.79,3177,2760,8940,4000
"Androscoggin County, ME", ME,Androscoggin County ME,141.2586893,11.7,0.158705,18,42.9,68.6,47.1,32,2984,78.28,108277,41528,10.4,6.7,14.42,3690,2634,7356,7212
"Angelina County, TX", TX,Angelina County TX,381.9718439,17,0.547671,47.6,65.4,82,66.6,33.4,2712,76.06,86715,38897,15.6,8.9,13.33,3177,2760,8124,3868
"Anne Arundel County, MD", MD,Anne Arundel County MD,442.1108318,5.2,0.463435,35.2,55.5,78.6,58.3,27,18104,79.16,579234,67363,5.8,10.1,15.84,3177,3001,10764,6215
"Anoka County, MN", MN,Anoka County MN,137.8359752,7.1,0.287773,13.2,45.6,70.6,47.2,35.6,12590,81.18,356921,51258,6.2,8.2,15.91,3246,2696,9840,7368
"Anson County, NC", NC,Anson County NC,531.3252552,20.7,0.556216,40.5,60,79.5,61,29.2,805,75.05,24446,34616,21.4,5,13.53,3177,2728,6876,5557
"Antelope County, NE", NE,Antelope County NE,61.95786865,10.4,0.083197,21.7,47.4,73.4,49.7,40.8,88,81.22,6298,46981,12.2,11.3,12.89,3246,2783,5460,5385
"Antrim County, MI", MI,Antrim County MI,154.0436457,11.3,0.093,21.8,44,68.3,48.8,31.3,994,80.13,23324,47070,9.6,9.3,12.55,3246,2594,5580,4752
"Apache County, AZ", AZ,Apache County AZ,95.92126116,32.4,0.418588,31.8,48.7,71.3,51.7,35.9,2581,74.28,71887,34355,33.4,4.7,13.32,3792,2763,6024,5630
"Appanoose County, IA", IA,Appanoose County IA,330.9171131,14.6,0.074125,23.1,51,75.1,52.8,37.3,313,78.33,12426,38478,19.3,7.3,13.55,3246,2791,5964,6243
"Appling County, GA", GA,Appling County GA,162.6898048,19.9,0.466746,48.1,63.9,81,66.3,26.4,431,74.29,18386,33268,20.9,7.4,13.23,3177,2713,6156,5682
"Appomattox County, VA", VA,Appomattox County VA,32.77613897,12.6,0.371659,35.1,55.4,75.9,56.8,31.1,410,77.5,15911,38302,12.6,6.4,14.03,3177,2866,7560,5789
"Aransas County, TX", TX,Aransas County TX,246.3458696,17.1,0.458668,54.9,71,84,74.1,31.4,767,76.03,23510,48389,18.7,19.9,12.98,3177,2760,7488,3765
