county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,temp_avg,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs,cost_sum,p_cost,p_temperature,p_life,p_edu,p_safe,p_wealth,p_employment
"Alpine County, CA", CA,Alpine County CA,690.2502157,14.3,0.491441,28.7,35.5,58,42.6,41.2,28.6,58,79.06,1129,73307,17.2,2.1,14.36,3792,2545,8220,5806,20377.36,17,96,31,66,3,2,96
"Amador County, CA", CA,Amador County CA,355.9790794,10.3,0.340126,45.4,55,76,62.1,59.625,43.3,1317,79.8,39752,44793,9.8,4.5,16.26,3792,2545,10212,7774,24339.26,4,27,20,0,21,37,46
"Amelia County, VA", VA,Amelia County VA,204.0015692,9,0.420531,35.9,56.5,77.1,56.6,56.525,25.9,357,77.27,13145,44774,9.3,4.1,15.95,3177,2866,10788,6544,23390.95,6,39,59,82,47,37,58
"Amherst County, VA", VA,Amherst County VA,46.61570017,11.2,0.388727,36.1,55.8,76.1,57.2,56.3,30.6,823,77.77,31605,37160,12,4,14.03,3177,2866,7560,5789,19406.03,26,40,52,51,92,72,61
"Amite County, MS", MS,Amite County MS,62.02031165,21.7,0.505187,47.2,63.7,80.7,65.7,64.325,30,376,76.19,12297,33460,20.9,3.6,12.9,3177,2724,5904,5236,17053.9,73,12,74,56,88,87,71
"Anchorage Municipality, AK", AK,Anchorage Municipality AK,824.7217146,13.4,0.601515,17.1,36.2,57.6,34.4,36.325,34.4,10971,78.68,288000,66510,9.5,4.7,15.27,3792,2814,11220,4431,22272.27,9,99,37,23,1,4,41
"Anderson County, KS", KS,Anderson County KS,215.2716221,12.7,0.10437,30,54.6,78.6,57.3,55.125,30.9,175,78.79,7858,38539,12.7,11,13.16,3246,2543,6288,5364,17454.16,60,45,35,48,45,66,1
"Anderson County, KY", KY,Anderson County KY,55.01811013,10,0.107989,32.5,55.2,76.3,56.4,55.1,33.1,718,77.24,22747,39321,10.2,2.8,13.41,3177,3022,6204,5693,18109.41,46,46,60,32,90,62,88
"Anderson County, SC", SC,Anderson County SC,600.0807801,14,0.36453,41.3,60.1,79.5,61.2,60.525,31.8,5402,76.32,202558,39710,12.9,2.3,13.99,3177,2662,6876,6587,19315.99,27,24,72,41,5,60,95
"Anderson County, TN", TN,Anderson County TN,342.85563,13.3,0.185338,36.7,57.6,77.1,58.7,57.525,30.8,2311,76.68,76978,41853,15.3,3.6,13.01,3177,2813,7488,3774,17265.01,67,35,68,49,22,50,71
"Anderson County, TX", TX,Anderson County TX,374.5382996,20.9,0.562471,46.7,64.6,82.6,66.8,65.175,31.8,1312,73.41,57735,34242,19.8,5.8,12.65,3177,2760,6900,3670,16519.65,87,9,96,41,19,84,22
"Andrew County, MO", MO,Andrew County MO,80.25222127,9.1,0.100426,27.2,54.2,77.1,54.7,53.3,29.5,394,78.74,17712,45118,8.9,13.1,13.66,3246,2681,6660,5895,18495.66,37,53,36,60,84,36,0
"Andrews County, TX", TX,Andrews County TX,547.6516459,9.2,0.529877,44.6,64.5,81.2,65,63.825,25.1,754,76.46,18705,50011,10.2,5.6,13.79,3177,2760,8940,4000,18890.79,32,13,71,86,7,21,24
"Androscoggin County, ME", ME,Androscoggin County ME,141.2586893,11.7,0.158705,18,42.9,68.6,47.1,44.15,32,2984,78.28,108277,41528,10.4,6.7,14.42,3690,2634,7356,7212,20906.42,14,90,44,40,65,52,12
"Angelina County, TX", TX,Angelina County TX,381.9718439,17,0.547671,47.6,65.4,82,66.6,65.4,33.4,2712,76.06,86715,38897,15.6,8.9,13.33,3177,2760,8124,3868,17942.33,49,8,75,30,18,64,3
"Anne Arundel County, MD", MD,Anne Arundel County MD,442.1108318,5.2,0.463435,35.2,55.5,78.6,58.3,56.9,27,18104,79.16,579234,67363,5.8,10.1,15.84,3177,3001,10764,6215,23172.84,7,37,30,76,13,3,1
"Anoka County, MN", MN,Anoka County MN,137.8359752,7.1,0.287773,13.2,45.6,70.6,47.2,44.15,35.6,12590,81.18,356921,51258,6.2,8.2,15.91,3246,2696,9840,7368,23165.91,7,90,5,18,66,18,5
"Anson County, NC", NC,Anson County NC,531.3252552,20.7,0.556216,40.5,60,79.5,61,60.25,29.2,805,75.05,24446,34616,21.4,5,13.53,3177,2728,6876,5557,18351.53,40,25,85,62,8,82,34
